organismQuantity	occurrenceStatus	recordedBy	samplingProtocol	sampleSizeValue	organismQuantityType	sampleSizeUnit	kingdom	phylum	class	order	family	genus	scientificName	scientificNameID	taxonRank	specificEpithet	occurrenceID
314	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2329_W-8-multi-tot
314	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2500_S-18-multi-tot
314	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3031_B-3-multi-tot
314	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3032_B-3-multi-tot
314	present	Hugo Gante	eDNA expeditions citizen science sampling	814746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3033_B-13-multi-tot
314	present	Hugo Gante	eDNA expeditions citizen science sampling	742306	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.76_S-06-multi-tot
314	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus	urn:lsid:marinespecies.org:taxname:137043	genus		asv.769_W-8-multi-tot
313	present	Hugo Gante	eDNA expeditions citizen science sampling	814746	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.122_B-13-multi-tot
313	present	Hugo Gante	eDNA expeditions citizen science sampling	1051926	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1715_S-01-multi-tot
313	present	Hugo Gante	eDNA expeditions citizen science sampling	814746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2228_B-13-multi-tot
313	present	Hugo Gante	eDNA expeditions citizen science sampling	1051926	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2437_S-01-multi-tot
313	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2562_W-22-multi-tot
313	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2751_B-3-multi-tot
313	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3034_B-3-multi-tot
313	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3035_S-11-multi-tot
313	present	Hugo Gante	eDNA expeditions citizen science sampling	302078	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.770_S-06-singleplex
312	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2311_S-11-multi-tot
312	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads											asv.2815_B-3-multi-Mi
312	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads											asv.2835_S-01-multi-Mi
312	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3036_W-8-multi-tot
312	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3038_B-3-multi-tot
312	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3039_S-11-multi-tot
312	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.619_W-22-multi-tot
312	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Acanthuriformes	Acanthuridae	Acanthurus		urn:lsid:marinespecies.org:taxname:125908	genus		asv.771_B-3-multi-Mi
311	present	Hugo Gante	eDNA expeditions citizen science sampling	814746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2322_B-13-multi-tot
311	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	332307	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.279_W-26-multi-tot
311	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads											asv.3040_B-3-multi-Mi
311	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3041_W-8-multi-tot
311	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3042_B-3-multi-tot
311	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads											asv.3045_S-11-multi-Mi
311	present	Hugo Gante	eDNA expeditions citizen science sampling	2494166	DNA Sequence reads	DNA Sequence reads											asv.3046_S-11-multi-Mi
311	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Aves	Charadriiformes	Laridae	Larus	Larus	urn:lsid:marinespecies.org:taxname:137043	genus		asv.772_W-8-multi-tot
311	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.773_W-22-multi-tot
310	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2288_W-8-multi-tot
310	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2569_B-3-multi-tot
310	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads											asv.3047_B-3-multi-Mi
310	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae						asv.774_W-8-multi-tot
309	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3050_W-8-multi-tot
309	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3053_B-3-multi-tot
309	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3054_B-3-multi-tot
309	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3055_S-11-multi-tot
309	present	Hugo Gante	eDNA expeditions citizen science sampling	644081	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.320_W-17-singleplex
309	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.376_W-8-multi-tot
309	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Sillaginidae	Sillago	Sillago_cf._sihama_JYP570	urn:lsid:marinespecies.org:taxname:126072	genus		asv.706_S-01-multi-Mi
308	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	308366	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1478_S-22-singleplex
308	present	Hugo Gante	eDNA expeditions citizen science sampling	742306	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1537_S-06-multi-tot
308	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2011_S-11-multi-tot
308	present	Hugo Gante	eDNA expeditions citizen science sampling	742306	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2370_S-06-multi-tot
308	present	Hugo Gante	eDNA expeditions citizen science sampling	615472	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2490_B-12-multi-tot
308	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2913_S-11-multi-tot
308	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	497142	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3057_B-14-multi-tot
308	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus	urn:lsid:marinespecies.org:taxname:1463738	species	gallus	asv.775_W-22-multi-tot
307	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1471_S-18-multi-tot
307	present	Hugo Gante	eDNA expeditions citizen science sampling	742306	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1926_S-06-multi-tot
307	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2367_B-3-multi-tot
307	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2541_S-11-multi-tot
307	present	Hugo Gante	eDNA expeditions citizen science sampling	644081	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.27_W-17-singleplex
307	present	Hugo Gante	eDNA expeditions citizen science sampling	615472	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2967_B-12-multi-tot
307	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2976_B-3-multi-tot
307	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads											asv.3058_S-01-multi-Mi
307	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Pomacentridae	Stegastes	Stegastes_partitus	urn:lsid:marinespecies.org:taxname:276677	species	partitus	asv.3059_B-3-multi-Mi
307	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Pomacentridae	Stegastes	Stegastes_partitus	urn:lsid:marinespecies.org:taxname:276677	species	partitus	asv.3060_B-3-multi-Mi
307	present	Hugo Gante	eDNA expeditions citizen science sampling	684384	DNA Sequence reads	DNA Sequence reads											asv.3061_W-17-multi-tot
307	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	916491	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3062_B-05-multi-tot
307	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus	urn:lsid:marinespecies.org:taxname:1463738	species	gallus	asv.776_W-22-multi-tot
306	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	308366	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.101_S-22-singleplex
306	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1465_S-18-multi-tot
306	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1476_S-18-multi-tot
306	present	Hugo Gante	eDNA expeditions citizen science sampling	684384	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1828_W-17-multi-tot
306	present	Hugo Gante	eDNA expeditions citizen science sampling	1127	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.2_W-8-multi-Mi
306	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2142_W-8-multi-tot
306	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2703_B-3-multi-tot
306	present	Hugo Gante	eDNA expeditions citizen science sampling	1175843	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2985_W-21-multi-tot
306	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Atheriniformes	Atherinidae	Craterocephalus		urn:lsid:marinespecies.org:taxname:268866	genus		asv.777_S-01-multi-Mi
305	present	Hugo Gante	eDNA expeditions citizen science sampling	1472987	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1451_B-12-multi-Mi
305	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1465_W-22-multi-tot
305	present	Hugo Gante	eDNA expeditions citizen science sampling	1065746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1919_S-11-multi-tot
305	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2615_W-22-multi-tot
305	present	Hugo Gante	eDNA expeditions citizen science sampling	615472	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.279_B-12-multi-tot
305	present	Hugo Gante	eDNA expeditions citizen science sampling	814746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3066_B-13-multi-tot
305	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae						asv.778_W-8-multi-tot
305	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.779_S-18-multi-tot
305	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	497142	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	urn:lsid:marinespecies.org:taxname:1469456	species	scrofa	asv.780_B-14-multi-tot
304	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1460_W-8-multi-tot
304	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1463_W-8-multi-tot
304	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1984_B-3-multi-tot
304	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2350_W-8-multi-tot
304	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2353_W-8-multi-tot
304	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2360_B-3-multi-tot
304	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads											asv.2375_W-8-multi-tot
304	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.618_W-22-multi-tot
303	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	308366	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1469_S-22-singleplex
303	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	308366	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1485_S-22-singleplex
303	present	Hugo Gante	eDNA expeditions citizen science sampling	1175843	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2072_W-21-multi-tot
303	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads											asv.2823_B-3-multi-Mi
303	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3068_W-8-multi-tot
303	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3069_B-3-multi-tot
303	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.513_S-18-multi-tot
302	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1540_B-3-multi-tot
302	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2100_W-8-multi-tot
302	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2685_W-22-multi-tot
302	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads											asv.3070_B-3-multi-Mi
302	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3071_W-8-multi-tot
302	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3072_W-8-multi-tot
302	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3074_B-3-multi-tot
302	present	Hugo Gante	eDNA expeditions citizen science sampling	814746	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3075_B-13-multi-tot
302	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	497142	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Artiodactyla	Suidae	Sus	Sus scrofa	urn:lsid:marinespecies.org:taxname:1469456	species	scrofa	asv.431_B-14-multi-tot
302	present	Hugo Gante	eDNA expeditions citizen science sampling	2599740	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.57_S-01-multi-Mi
302	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Pomatoschistus		urn:lsid:marinespecies.org:taxname:125999	genus		asv.781_W-8-multi-tot
302	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	2119650	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.782_W-22-multi-tot
301	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	308366	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1484_S-22-singleplex
301	present	Hugo Gante	eDNA expeditions citizen science sampling	684384	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1741_W-17-multi-tot
301	present	Hugo Gante	eDNA expeditions citizen science sampling	1175843	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.177_W-21-multi-tot
301	present	Hugo Gante	BLANK; eDNA expeditions citizen science sampling	705656	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2713_S-22-multi-tot
301	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3076_W-8-multi-tot
301	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3079_B-3-multi-tot
301	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3080_B-3-multi-tot
301	present	Hugo Gante	eDNA expeditions citizen science sampling	1740448	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3081_B-13-multi-Mi
301	present	Hugo Gante	eDNA expeditions citizen science sampling	2823421	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Actinopteri	nan	Pomacentridae	Stegastes		urn:lsid:marinespecies.org:taxname:203822	genus		asv.783_B-3-multi-Mi
301	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.784_S-18-multi-tot
301	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	916491	DNA Sequence reads	DNA Sequence reads	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens	urn:lsid:marinespecies.org:taxname:1455977	species	sapiens	asv.785_B-05-multi-tot
300	present	Hugo Gante	eDNA expeditions citizen science sampling	684384	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1925_W-17-multi-tot
300	present	Hugo Gante	eDNA expeditions citizen science sampling	742306	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1932_S-06-multi-tot
300	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3083_S-18-multi-tot
300	present	Hugo Gante	eDNA expeditions citizen science sampling	2099563	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.3084_B-3-multi-tot
299	present	Hugo Gante	CONTROL; eDNA expeditions citizen science sampling	1591256	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.1484_S-18-multi-tot
299	present	Hugo Gante	eDNA expeditions citizen science sampling	1175843	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2086_W-21-multi-tot
299	present	Hugo Gante	eDNA expeditions citizen science sampling	1175843	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2135_W-21-multi-tot
299	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2233_W-8-multi-tot
299	present	Hugo Gante	eDNA expeditions citizen science sampling	2234064	DNA Sequence reads	DNA Sequence reads							Biota	urn:lsid:marinespecies.org:taxname:1	kingdom		asv.2942_W-8-multi-tot
